,(honesto OR honesta),(democr치tico OR democr치tica),inteligente,consciente,(culto OR culta),(correta OR correto),(honesto OR honesta),(democr치tico OR democr치tica),inteligente,consciente,(culto OR culta),(correta OR correto)
0,36.0,13.0,7.0,0.0,1.0,4.0,36.0,13.0,7.0,0.0,1.0,4.0
1,167.0,100.0,66.0,7.0,14.0,60.0,167.0,100.0,66.0,7.0,14.0,60.0
2,200.0,94.0,56.0,7.0,18.0,58.0,200.0,94.0,56.0,7.0,18.0,58.0
3,169.0,82.0,46.0,13.0,24.0,63.0,169.0,82.0,46.0,13.0,24.0,63.0
4,163.0,67.0,63.0,11.0,10.0,52.0,163.0,67.0,63.0,11.0,10.0,52.0
5,119.0,45.0,67.0,6.0,14.0,61.0,119.0,45.0,67.0,6.0,14.0,61.0
6,141.0,66.0,69.0,10.0,20.0,66.0,141.0,66.0,69.0,10.0,20.0,66.0
7,140.0,43.0,59.0,13.0,24.0,58.0,140.0,43.0,59.0,13.0,24.0,58.0
8,159.0,74.0,60.0,10.0,12.0,45.0,159.0,74.0,60.0,10.0,12.0,45.0
9,161.0,251.0,85.0,20.0,28.0,100.0,161.0,251.0,85.0,20.0,28.0,100.0
10,140.0,143.0,104.0,27.0,22.0,102.0,140.0,143.0,104.0,27.0,22.0,102.0
11,168.0,81.0,95.0,25.0,21.0,87.0,168.0,81.0,95.0,25.0,21.0,87.0
12,130.0,91.0,82.0,24.0,18.0,66.0,130.0,91.0,82.0,24.0,18.0,66.0
13,115.0,61.0,67.0,9.0,20.0,41.0,115.0,61.0,67.0,9.0,20.0,41.0
14,108.0,59.0,48.0,16.0,21.0,62.0,108.0,59.0,48.0,16.0,21.0,62.0
15,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
